SA2,Total Resisdents - 2011,Births - 2011,Total Resisdents - 2012,Births - 2012,Total Resisdents - 2013,Births - 2013,Total Resisdents - 2014,Births - 2014,Total Resisdents - 2015,Births - 2015,Total Resisdents - 2016,Births - 2016,Total Resisdents - 2017,Births - 2017,Total Resisdents - 2018,Births - 2018,Total Resisdents - 2019,Births - 2019,Total Resisdents - 2020,Births - 2020,Total Resisdents - 2021,Births - 2021
Avoca Beach - Copacabana,"7,289",76,"7,362",75,"7,428",75,"7,502",70,"7,562",73,"7,626",71,"7,642",79,"7,647",80,"7,633",75,"7,600",63,"7,530",82
Box Head - MacMasters Beach,"10,699",96,"10,748",89,"10,810",108,"10,871",90,"10,933",111,"10,995",92,"11,031",92,"11,074",97,"11,077",78,"11,056",83,"11,052",89
Calga - Kulnura,"4,578",52,"4,632",34,"4,691",38,"4,746",45,"4,799",45,"4,858",41,"4,840",46,"4,827",52,"4,806",55,"4,773",40,"4,748",44
Erina - Green Point,"14,072",121,"14,122",103,"14,186",100,"14,243",95,"14,285",111,"14,342",106,"14,492",89,"14,652",122,"14,804",119,"14,834",100,"14,803",117
Gosford - Springfield,"18,748",262,"18,932",255,"18,998",269,"19,046",264,"19,194",245,"19,382",260,"19,692",243,"19,990",289,"20,408",251,"20,924",225,"21,346",308
Kariong,"6,669",113,"6,640",76,"6,643",96,"6,633",59,"6,607",99,"6,586",61,"6,575",88,"6,571",104,"6,561",78,"6,555",67,"6,518",88
Kincumber - Picketts Valley,"7,339",66,"7,365",72,"7,400",63,"7,425",60,"7,448",65,"7,483",55,"7,523",67,"7,575",76,"7,610",80,"7,623",75,"7,628",74
Narara,"6,725",79,"6,747",79,"6,779",89,"6,798",63,"6,822",80,"6,848",80,"6,922",78,"6,989",89,"7,052",81,"7,130",93,"7,191",83
Niagara Park - Lisarow,"8,299",113,"8,277",88,"8,264",117,"8,243",73,"8,215",93,"8,201",66,"8,218",74,"8,220",105,"8,229",83,"8,221",94,"8,237",85
Point Clare - Koolewong,"6,513",57,"6,485",66,"6,465",83,"6,438",61,"6,410",75,"6,389",61,"6,418",67,"6,442",67,"6,504",64,"6,585",51,"6,575",70
Saratoga - Davistown,"6,843",86,"6,899",74,"6,975",75,"7,072",87,"7,129",75,"7,195",85,"7,205",75,"7,234",102,"7,236",55,"7,214",72,"7,179",70
Terrigal - North Avoca,"13,224",143,"13,328",152,"13,445",140,"13,549",126,"13,765",134,"13,939",146,"14,111",145,"14,297",136,"14,520",144,"14,807",136,"14,890",144
Umina - Booker Bay - Patonga,"23,310",274,"23,408",275,"23,530",278,"23,722",237,"23,958",274,"24,235",246,"24,404",246,"24,533",300,"24,639",250,"24,823",255,"24,853",263
Wamberal - Forresters Beach,"9,511",106,"9,623",106,"9,709",121,"9,786",108,"9,861",113,"10,069",111,"10,279",100,"10,380",116,"10,519",97,"10,619",102,"10,691",88
Woy Woy - Blackwall,"13,669",165,"13,740",137,"13,843",156,"13,943",119,"14,070",161,"14,216",119,"14,359",133,"14,417",168,"14,448",161,"14,432",152,"14,402",176
Wyoming,"11,530",168,"11,577",129,"11,629",162,"11,677",131,"11,722",132,"11,773",124,"11,740",139,"11,705",181,"11,657",145,"11,573",151,"11,457",132
Gosford,"169,018","1,977","169,885","1,810","170,795","1,970","171,694","1,688","172,780","1,886","174,137","1,724","175,451","1,761","176,553","2,084","177,703","1,816","178,769","1,759","179,100","1,913"
Bateau Bay - Killarney Vale,"22,025",299,"22,099",273,"22,175",288,"22,270",242,"22,365",282,"22,478",251,"22,637",250,"22,760",293,"22,842",273,"22,940",288,"22,986",308
Blue Haven - San Remo,"11,087",180,"11,121",177,"11,155",154,"11,186",136,"11,237",176,"11,302",147,"11,377",155,"11,439",201,"11,454",188,"11,381",164,"11,389",185
Budgewoi - Buff Point - Halekulani,"9,216",106,"9,269",115,"9,347",120,"9,419",100,"9,495",102,"9,590",108,"9,647",103,"9,680",129,"9,692",108,"9,729",122,"9,788",121
Chittaway Bay - Tumbi Umbi,"15,748",203,"15,746",176,"15,754",190,"15,748",170,"15,739",184,"15,744",177,"15,809",184,"15,880",215,"15,937",209,"15,976",166,"16,072",228
Gorokan - Kanwal - Charmhaven,"21,295",263,"21,607",295,"21,892",261,"22,095",229,"22,314",238,"22,584",211,"22,681",287,"22,768",299,"22,839",284,"22,740",293,"22,585",289
Jilliby - Yarramalong,"3,138",25,"3,203",25,"3,269",30,"3,321",30,"3,369",29,"3,423",27,"3,439",23,"3,463",29,"3,476",29,"3,440",31,"3,428",23
Lake Munmorah - Mannering Park,"10,400",111,"10,501",121,"10,611",123,"10,714",88,"10,808",110,"10,925",99,"10,956",100,"10,985",122,"10,999",91,"11,004",109,"11,007",116
Ourimbah - Fountaindale,"4,959",50,"4,972",61,"4,985",57,"4,998",47,"5,005",59,"5,014",43,"5,023",52,"5,025",64,"5,015",53,"4,980",55,"4,941",54
Summerland Point - Gwandalan,"5,527",62,"5,598",62,"5,671",67,"5,741",62,"5,818",67,"5,897",57,"6,014",64,"6,171",75,"6,283",60,"6,391",60,"6,518",83
The Entrance,"14,424",170,"14,580",197,"14,748",202,"14,931",178,"15,182",201,"15,383",190,"15,599",182,"15,756",191,"15,902",178,"15,967",169,"15,934",179
Toukley - Norah Head,"9,300",114,"9,428",113,"9,559",119,"9,715",100,"9,853",112,"10,040",96,"10,098",117,"10,126",119,"10,106",119,"10,026",94,"9,968",112
Tuggerah - Kangy Angy,"5,318",73,"5,344",62,"5,361",75,"5,387",60,"5,409",75,"5,442",57,"5,425",64,"5,397",59,"5,370",64,"5,328",69,"5,260",54
Warnervale - Wadalba,"12,786",185,"13,294",158,"13,777",178,"14,389",150,"15,004",170,"15,637",181,"16,704",210,"17,551",255,"18,381",249,"19,234",266,"20,210",306
Wyong,"8,416",125,"8,516",96,"8,646",123,"8,769",105,"8,886",127,"9,015",104,"9,091",109,"9,150",123,"9,182",100,"9,162",111,"9,193",97
Wyong,"153,639","1,966","155,278","1,931","156,950","1,987","158,683","1,697","160,484","1,932","162,474","1,748","164,500","1,900","166,151","2,174","167,478","2,005","168,298","1,997","169,279","2,155"
Central Coast,"322,657","3,943","325,163","3,741","327,745","3,957","330,377","3,385","333,264","3,818","336,611","3,472","339,951","3,661","342,704","4,258","345,181","3,821","347,067","3,756","348,379","4,068"
Baulkham Hills - East,"22,188",319,"22,370",325,"22,628",332,"22,941",307,"23,270",296,"23,711",311,"24,443",314,"24,590",296,"24,795",299,"24,973",261,"24,853",262
Baulkham Hills (West) - Bella Vista,"19,488",172,"19,688",189,"19,901",168,"20,176",190,"20,555",185,"20,853",169,"21,148",189,"21,364",172,"21,558",175,"21,694",153,"21,792",182
Glenhaven,"6,063",43,"6,160",43,"6,256",50,"6,325",38,"6,403",45,"6,501",43,"6,540",37,"6,528",45,"6,492",32,"6,455",26,"6,368",34
West Pennant Hills,"13,120",109,"13,121",94,"13,150",92,"13,168",94,"13,175",107,"13,184",96,"13,152",88,"13,069",106,"12,962",100,"12,871",54,"12,698",94
Castle Hill - Central,"7,556",105,"7,603",114,"7,663",98,"7,724",87,"7,774",107,"7,832",94,"7,903",76,"7,916",97,"7,936",85,"7,855",54,"7,685",68
Castle Hill - East,"5,824",22,"5,816",29,"5,806",27,"5,781",24,"5,770",22,"5,754",23,"5,743",25,"5,739",26,"5,745",16,"5,720",18,"5,673",23
Castle Hill - North,"11,958",103,"12,006",84,"12,103",101,"12,173",92,"12,242",103,"12,312",107,"12,397",82,"12,422",100,"12,433",89,"12,398",100,"12,214",79
Castle Hill - South,"9,233",112,"9,360",119,"9,508",123,"9,655",101,"9,793",119,"9,943",101,"10,030",96,"10,096",104,"10,366",96,"10,460",93,"10,436",100
Castle Hill - West,"5,313",68,"5,333",41,"5,358",63,"5,384",39,"5,410",56,"5,443",56,"5,407",42,"5,370",47,"5,333",27,"5,282",43,"5,198",33
Cherrybrook,"19,707",120,"19,650",149,"19,603",132,"19,588",129,"19,518",134,"19,460",138,"19,582",129,"19,569",123,"19,543",114,"19,472",96,"19,135",101
Kellyville - East,"16,908",216,"16,901",184,"16,959",208,"17,294",160,"17,724",221,"18,216",166,"18,307",172,"18,128",208,"18,016",172,"17,867",130,"17,748",154
Kellyville - West,"2,279",27,"2,965",36,"3,660",53,"4,356",55,"5,097",79,"5,849",86,"7,252",88,"8,408",86,"9,467",98,"10,393",116,"11,417",148
Baulkham Hills,"139,637","1,416","140,973","1,407","142,595","1,447","144,565","1,316","146,731","1,474","149,058","1,390","151,904","1,338","153,199","1,410","154,646","1,303","155,440","1,144","155,217","1,278"
Dural - Kenthurst - Wisemans Ferry,"21,062",184,"21,155",187,"21,279",215,"21,400",171,"21,522",212,"21,649",177,"22,050",172,"22,283",227,"22,437",186,"22,564",162,"22,586",155
