2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Score of Index of Relative Socio-economic Disadvantage,Decile of Index of Relative Socio-economic Disadvantage,Score of Index of Relative Socio-economic Advantage and Disadvantage,Decile of Index of Relative Socio-economic Advantage and Disadvantage,Score of Index of Economic Resources,Decile of Index of Economic Resources,Score of Index of Education and Occupation,Decile of Index of Education and Occupation,Usual Resident Population,State
80010,ACT Remainder - Majura,1172,10,1102,10,1017,5,1058,9,161,ACT
80012,ACT Remainder - Paddys River,1115,10,1077,10,1062,8,1094,10,76,ACT
80014,ACT Remainder - Stromlo,1089,10,1111,10,1027,6,1133,10,75,ACT
80015,ACT Remainder - Tuggeranong,1123,10,1107,10,1135,10,1166,10,49,ACT
80018,Ainslie,1058,8,1109,10,1015,5,1157,10,5376,ACT
80019,Amaroo (ACT),1080,9,1092,10,1068,8,1091,10,6129,ACT
80020,Aranda,1112,10,1147,10,1102,10,1172,10,2605,ACT
80021,Banks,1055,8,1038,8,1062,8,1008,7,5100,ACT
80022,Barton,1142,10,1185,10,1011,5,1229,10,1946,ACT
80024,Belconnen,1041,7,1058,9,894,1,1115,10,8502,ACT
80025,Bonner,1071,9,1095,10,1069,8,1095,10,7339,ACT
80026,Bonython,1055,8,1056,9,1031,6,1068,9,3839,ACT
80027,Braddon,1102,10,1155,10,928,2,1210,10,6383,ACT
80028,Bruce (ACT),1099,10,1117,10,992,4,1153,10,7520,ACT
80029,Calwell,1073,9,1065,9,1075,9,1050,9,5730,ACT
80030,Campbell,1129,10,1168,10,1053,7,1198,10,6564,ACT
80031,Canberra Airport,1021,6,1026,8,927,1,1071,9,125,ACT
80033,Casey,1096,10,1114,10,1081,9,1109,10,6471,ACT
80034,Chapman,1118,10,1146,10,1132,10,1154,10,2867,ACT
80035,Charnwood,985,4,979,5,967,3,1000,7,3055,ACT
80036,Chifley (ACT),1067,9,1093,10,1018,5,1114,10,2680,ACT
80037,Chisholm (ACT),1038,7,1028,8,1041,7,1021,8,5268,ACT
