2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Score of Index of Relative Socio-economic Disadvantage,Decile of Index of Relative Socio-economic Disadvantage,Score of Index of Relative Socio-economic Advantage and Disadvantage,Decile of Index of Relative Socio-economic Advantage and Disadvantage,Score of Index of Economic Resources,Decile of Index of Economic Resources,Score of Index of Education and Occupation,Decile of Index of Education and Occupation,Usual Resident Population,State
10001,Aarons Pass,885,1,882,1,933,2,934,3,33,NSW
10002,Abbotsbury,1047,8,1060,9,1118,10,1028,8,4200,NSW
10003,Abbotsford (NSW),1062,9,1108,10,1013,5,1121,10,5431,NSW
10004,Abercrombie,1075,9,1039,8,1087,9,1006,7,1127,NSW
10005,Abercrombie River,1014,5,998,6,1020,5,1001,7,21,NSW
10006,Aberdare,884,1,852,1,925,1,831,1,2542,NSW
10007,Aberdeen (NSW),947,2,901,2,988,3,848,1,2051,NSW
10008,Aberfoyle,1074,9,1037,8,1071,8,1042,8,121,NSW
10009,Aberglasslyn,1017,6,982,5,1058,7,932,3,6552,NSW
10010,Abermain,923,2,883,1,975,3,842,1,2544,NSW
10011,Abernethy,993,4,939,3,1059,8,871,1,317,NSW
10012,Abington (NSW),1070,9,1043,9,1062,8,1077,9,29,NSW
10013,Acacia Creek,955,3,936,3,964,2,967,5,30,NSW
10014,Acacia Gardens,1080,9,1096,10,1111,10,1054,9,3668,NSW
10015,Adaminaby,978,3,955,4,989,4,931,3,339,NSW
10016,Adamstown,1037,7,1035,8,984,3,1042,8,6335,NSW
10017,Adamstown Heights,1091,10,1084,10,1076,9,1073,9,5621,NSW
10018,Adelong,943,2,908,2,969,3,890,2,938,NSW
10019,Adjungbilly,1055,8,1052,9,1076,9,1066,9,101,NSW
10020,Afterlee,995,4,963,4,992,4,976,5,32,NSW
10021,Agnes Banks,1053,8,1045,9,1110,10,981,6,996,NSW
10022,Airds,663,1,741,1,756,1,829,1,3265,NSW
10023,Akolele,860,1,875,1,845,1,921,3,165,NSW
10024,Albert,1080,9,1080,10,1095,9,1130,10,77,NSW
10025,Albion Park,1018,6,980,5,1057,7,930,3,13826,NSW
10026,Albion Park Rail,931,2,900,2,968,3,872,1,6920,NSW
10027,Albury,1028,6,1025,8,958,2,1049,9,4955,NSW
10028,Aldavilla,963,3,915,2,1013,5,890,2,1443,NSW
10029,Alectown,1042,7,1023,8,1058,8,1029,8,151,NSW
10030,Alexandria,1104,10,1174,10,988,3,1181,10,9649,NSW
10031,Alfords Point,1098,10,1111,10,1156,10,1066,9,3131,NSW
10032,Alfredtown,1073,9,1034,8,1102,10,994,6,80,NSW
10033,Alice,870,1,901,2,940,2,947,4,4,NSW
10034,Alison (Central Coast - NSW),1042,7,1059,9,1124,10,1023,8,85,NSW
10035,Alison (Dungog - NSW),1016,6,1021,7,1047,7,1049,9,99,NSW
10036,Allambie Heights,1089,10,1127,10,1124,10,1102,10,7317,NSW
10037,Allandale (NSW),1029,6,1008,7,1062,8,947,4,68,NSW
10038,Allawah,982,4,1013,7,935,2,1046,9,5351,NSW
10039,Alleena,1050,8,1031,8,1046,7,1032,8,60,NSW
10040,Allgomera,1001,5,950,3,1040,6,937,3,139,NSW
10041,Allworth,924,2,873,1,977,3,799,1,190,NSW
10042,Allynbrook,996,4,968,4,1002,4,1010,7,54,NSW
10043,Alma Park,997,4,988,6,1029,6,1019,8,58,NSW
10044,Alpine,1078,9,1064,9,1130,10,1021,8,141,NSW
10045,Alstonvale,1067,9,1057,9,1103,10,1079,10,431,NSW
10046,Alstonville,1006,5,979,5,994,4,980,6,5912,NSW
10047,Alumy Creek,1056,8,1017,7,1060,8,984,6,86,NSW
10048,Amaroo (NSW),1059,8,1039,8,1091,9,1018,7,44,NSW
10049,Ambarvale,872,1,873,1,915,1,879,1,7254,NSW
10050,Amosfield,962,3,945,3,976,3,1001,7,40,NSW
10051,Anabranch North,994,4,992,6,1028,6,1016,7,6,NSW
10052,Anabranch South,994,4,992,6,1028,6,1016,7,41,NSW
10053,Anambah,1059,8,1044,9,1100,10,1004,7,64,NSW
10054,Ando,946,2,931,3,959,2,938,3,49,NSW
10055,Anembo,1033,7,1026,8,1038,6,1014,7,72,NSW
10056,Angledale,994,4,963,4,1011,5,986,6,167,NSW
10057,Angledool,1041,7,1016,7,1024,5,1046,9,34,NSW
10058,Anglers Reach,1030,6,1021,7,1055,7,1003,7,78,NSW
10059,Angourie,1082,10,1052,9,1072,8,1018,7,192,NSW
10060,Angus,959,3,953,4,1010,5,922,3,384,NSW
10061,Anna Bay,997,4,953,4,1003,4,930,3,4221,NSW
10062,Annandale (NSW),1096,10,1159,10,1026,6,1178,10,9487,NSW
10063,Annangrove,1094,10,1085,10,1141,10,1024,8,1472,NSW
10064,Appin (NSW),1043,7,1020,7,1104,10,958,4,3213,NSW
10065,Apple Tree Flat,1081,10,1053,9,1130,10,995,6,46,NSW
10066,Appleby,1054,8,1027,8,1043,7,1000,7,35,NSW
10067,Appletree Flat,995,4,949,3,1028,6,882,1,16,NSW
10068,Apsley (NSW),982,4,987,6,1031,6,990,6,116,NSW
10069,Arable,1079,9,1070,9,1071,8,1126,10,21,NSW
10070,Arakoon,1029,6,998,6,1053,7,991,6,445,NSW
10071,Araluen (NSW),1033,7,1003,6,1036,6,1051,9,209,NSW
10072,Aratula (NSW),1041,7,1007,7,1070,8,999,7,4,NSW
10073,Arcadia (NSW),1090,10,1111,10,1134,10,1102,10,1475,NSW
10074,Arcadia Vale,1019,6,973,5,1029,6,941,4,1431,NSW
10075,Ardglen,948,2,916,2,952,2,907,2,50,NSW
10076,Arding,1074,9,1030,8,1041,6,1052,9,182,NSW
10077,Ardlethan,856,1,851,1,893,1,878,1,472,NSW
10078,Argalong,1060,8,1027,8,1084,9,1002,7,16,NSW
10079,Argenton,889,1,861,1,916,1,865,1,1352,NSW
10080,Argents Hill,915,2,906,2,970,3,958,4,207,NSW
10081,Argoon,1102,10,1070,9,1094,9,1050,9,16,NSW
10082,Ariah Park,948,2,925,2,980,3,941,4,439,NSW
10083,Arkell,1014,5,998,6,1020,5,1001,7,36,NSW
10084,Arkstone,1040,7,1023,8,1054,7,1032,8,24,NSW
10085,Armatree,1051,8,1037,8,1032,6,1055,9,164,NSW
10086,Armidale,978,3,977,5,945,2,1018,7,23967,NSW
10087,Arncliffe,983,4,1033,8,966,3,1048,9,12023,NSW
10089,Arrawarra,862,1,853,1,888,1,838,1,591,NSW
10090,Arrawarra Headland,1012,5,996,6,1025,5,1000,7,615,NSW
10091,Artarmon,1062,8,1127,10,982,3,1160,10,9417,NSW
10092,Arthurville,1073,9,1042,9,1090,9,1033,8,47,NSW
10093,Arumpo,1020,6,1003,6,1027,6,1008,7,40,NSW
10094,Ashbury,1073,9,1105,10,1082,9,1103,10,3353,NSW
10095,Ashby (NSW),1026,6,990,6,1035,6,962,5,316,NSW
10096,Ashby Heights,989,4,946,3,1040,6,953,4,292,NSW
10097,Ashby Island,1026,6,990,6,1035,6,962,5,18,NSW
10098,Ashcroft,714,1,779,1,838,1,838,1,3634,NSW
10099,Ashfield (NSW),1006,5,1059,9,924,1,1100,10,23012,NSW
10100,Ashford (NSW),810,1,822,1,889,1,833,1,659,NSW
10101,Ashley,1017,6,976,5,1048,7,936,3,351,NSW
10102,Ashmont,771,1,784,1,828,1,799,1,3747,NSW
10103,Ashtonfield,1047,7,1021,7,1075,8,979,5,4589,NSW
10104,Asquith,1064,9,1094,10,1033,6,1119,10,6160,NSW
10105,Atholwood,947,2,933,3,986,3,944,4,68,NSW
10106,Attunga,1008,5,949,3,1030,6,893,2,542,NSW
10107,Auburn (NSW),814,1,908,2,863,1,957,4,39333,NSW
10108,Auburn Vale,1052,8,1011,7,1073,8,977,5,127,NSW
10109,Austinmer,1102,10,1125,10,1094,9,1137,10,2725,NSW
10110,Austral,1011,5,1033,8,1067,8,1008,7,6847,NSW
10111,Austral Eden,968,3,932,3,1024,5,921,3,145,NSW
10112,Avalon Beach,1097,10,1121,10,1115,10,1113,10,10379,NSW
10113,Avisford,1022,6,970,5,1040,6,925,3,45,NSW
10114,Avoca (NSW),1083,10,1088,10,1112,10,1085,10,208,NSW
10115,Avoca Beach,1085,10,1092,10,1113,10,1092,10,4708,NSW
10117,Avondale (NSW),959,3,933,3,975,3,921,3,1695,NSW
10118,Avonside,1079,9,1055,9,1088,9,1036,8,157,NSW
10119,Awaba,984,4,945,3,1034,6,919,3,430,NSW
10120,Aylmerton,1001,5,985,5,1059,8,982,6,195,NSW
10121,Baan Baa,1030,6,1005,7,1080,9,985,6,166,NSW
10122,Babinda (NSW),1027,6,1015,7,1115,10,1008,7,14,NSW
