2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Score of Index of Relative Socio-economic Disadvantage,Decile of Index of Relative Socio-economic Disadvantage,Score of Index of Relative Socio-economic Advantage and Disadvantage,Decile of Index of Relative Socio-economic Advantage and Disadvantage,Score of Index of Economic Resources,Decile of Index of Economic Resources,Score of Index of Education and Occupation,Decile of Index of Education and Occupation,Usual Resident Population,State
70002,Adelaide River,926,2,884,1,901,1,863,1,317,NT
70003,Alawa,973,3,985,5,961,2,1006,7,2078,NT
70004,Ali Curung,477,1,691,1,469,1,801,1,394,NT
70005,Alice Springs,967,3,967,4,856,1,974,5,231,NT
70006,Alpurrurulam,447,1,638,1,529,1,789,1,350,NT
70007,Alyangula,1111,10,1072,10,995,4,1021,8,751,NT
70008,Amoonguna,387,1,633,1,558,1,732,1,229,NT
70009,Ampilatwatja,473,1,694,1,576,1,879,1,439,NT
70010,Anatye,764,1,827,1,807,1,869,1,160,NT
70011,Angurugu,409,1,625,1,510,1,777,1,883,NT
70012,Anindilyakwa,671,1,776,1,643,1,852,1,375,NT
70013,Anmatjere,472,1,659,1,625,1,827,1,446,NT
70014,Anula,996,4,995,6,1003,4,992,6,2385,NT
70015,Araluen (NT),1038,7,1042,9,1000,4,1046,9,2673,NT
70017,Areyonga,461,1,640,1,620,1,827,1,236,NT
70018,Arnold (NT),975,3,974,5,975,3,945,4,75,NT
70019,Arumbera,593,1,776,1,616,1,901,2,257,NT
70020,Atitjere,508,1,704,1,590,1,884,2,204,NT
70021,Baines,291,1,550,1,585,1,802,1,239,NT
70022,Bakewell,1011,5,974,5,968,3,948,4,3091,NT
70023,Barunga,445,1,660,1,480,1,849,1,337,NT
70024,Batchelor,802,1,842,1,793,1,935,3,396,NT
70025,Bayview (NT),1111,10,1144,10,1071,8,1103,10,1702,NT
70026,Bees Creek,1048,8,1022,8,1067,8,980,6,803,NT
70027,Bellamack,1035,7,1036,8,1011,5,994,6,2423,NT
70028,Belyuen,471,1,662,1,475,1,801,1,149,NT
70029,Berrimah,997,5,999,6,977,3,968,5,1199,NT
70030,Berry Springs,988,4,975,5,1012,5,952,4,870,NT
70031,Beswick,384,1,637,1,452,1,905,2,542,NT
70032,Beswick Creek,921,2,958,4,824,1,1018,7,16,NT
70033,Binjari,361,1,568,1,462,1,718,1,240,NT
70034,Birdum,975,3,974,5,975,3,945,4,63,NT
70037,Borroloola,652,1,761,1,647,1,850,1,755,NT
70038,Bradshaw,601,1,725,1,702,1,827,1,55,NT
70039,Braitling,1001,5,1004,7,978,3,1003,7,3160,NT
70040,Brinkin,1070,9,1080,10,1027,6,1105,10,1117,NT
70043,Bulman Weemol,484,1,701,1,500,1,883,1,263,NT
70044,Burrundie,1040,7,1008,7,1019,5,937,3,8,NT
70045,Burt Plain,614,1,758,1,657,1,837,1,230,NT
70046,Bynoe,868,1,864,1,903,1,878,1,98,NT
70048,Calvert (NT),-,-,-,-,-,-,1119,10,21,NT
70050,Canteen Creek,465,1,697,1,468,1,852,1,147,#N/A
70051,Casuarina (NT),1077,9,1059,9,962,2,1109,10,406,NT
70054,Charlotte,868,1,864,1,903,1,878,1,19,NT
70056,Ciccone,831,1,875,1,800,1,924,3,281,NT
70057,Claravale,1023,6,999,6,1035,6,938,3,5,NT
70058,Cobourg,582,1,790,1,610,1,954,4,32,NT
