2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Score of Index of Relative Socio-economic Disadvantage,Decile of Index of Relative Socio-economic Disadvantage,Score of Index of Relative Socio-economic Advantage and Disadvantage,Decile of Index of Relative Socio-economic Advantage and Disadvantage,Score of Index of Economic Resources,Decile of Index of Economic Resources,Score of Index of Education and Occupation,Decile of Index of Education and Occupation,Usual Resident Population,State
30002,Abbotsford (Qld),921,2,895,2,986,3,894,2,20,QLD
30003,Abercorn,1007,5,993,6,1033,6,1026,8,41,QLD
30004,Abergowrie,1057,8,1010,7,1029,6,966,5,305,QLD
30005,Abingdon Downs,969,3,973,5,961,2,973,5,17,QLD
30006,Abington (Qld),927,2,880,1,978,3,852,1,60,QLD
30007,Acacia Ridge,856,1,872,1,877,1,907,2,7486,QLD
30008,Acland,1029,6,987,6,1054,7,949,4,3,QLD
30009,Adare,972,3,941,3,1049,7,887,2,1027,QLD
30010,Adavale,1064,9,1052,9,1085,9,1068,9,72,QLD
30011,Adelaide Park,1046,7,998,6,1091,9,954,4,449,QLD
30012,Advancetown,1025,6,1008,7,1077,9,975,5,528,QLD
30013,Aeroglen,1033,7,1011,7,1011,5,1007,7,405,QLD
30014,Agnes Water,968,3,929,3,970,3,919,3,2729,QLD
30015,Airdmillan,1063,9,995,6,1068,8,927,3,154,QLD
30016,Airlie Beach,1004,5,1002,6,920,1,972,5,1312,QLD
30017,Airville,1037,7,1003,6,1053,7,959,4,308,QLD
30018,Aitkenvale,916,2,914,2,900,1,944,4,4797,QLD
30019,Alabama Hill,908,1,874,1,953,2,943,4,103,QLD
30020,Albany Creek,1087,10,1069,9,1090,9,1047,9,16385,QLD
30021,Alberta,1057,8,1031,8,1080,9,1038,8,36,QLD
30022,Alberton (Qld),1000,5,963,4,1040,6,929,3,547,QLD
30023,Albinia,1077,9,1033,8,1084,9,1018,7,165,QLD
30024,Albion (Brisbane - Qld),1074,9,1089,10,954,2,1107,10,3446,QLD
30025,Albion (Richmond - Qld),1071,9,1039,8,1077,9,1002,7,34,QLD
30026,Alderley,1088,10,1109,10,1033,6,1125,10,6748,QLD
30027,Aldershot,844,1,803,1,922,1,761,1,1311,QLD
30029,Alexandra (Qld),1028,6,966,4,1024,5,900,2,189,QLD
30030,Alexandra Headland,1042,7,1036,8,996,4,1040,8,4235,QLD
30031,Alexandra Hills,1010,5,976,5,1026,6,950,4,16472,QLD
30032,Algester,998,5,984,5,1002,4,986,6,9020,QLD
30033,Alice Creek,1021,6,969,4,985,3,949,4,50,QLD
30034,Alice River,1068,9,1026,8,1112,10,960,5,2685,QLD
30035,Allan,988,4,951,4,1006,4,923,3,91,QLD
30036,Allandale (Qld),1028,6,992,6,1059,8,925,3,69,QLD
30037,Allenstown,905,1,907,2,857,1,930,3,2762,QLD
30038,Allenview,1016,6,988,6,1051,7,949,4,209,QLD
30039,Alligator Creek (Mackay - Qld),1034,7,987,6,1062,8,896,2,897,QLD
30040,Alligator Creek (Townsville - Qld),1068,9,1038,8,1094,9,997,6,1550,QLD
30041,Allora,951,2,922,2,965,2,910,2,1205,QLD
30042,Alloway,933,2,911,2,1007,4,885,2,488,QLD
30043,Almaden,893,1,904,2,896,1,934,3,41,QLD
30044,Aloomba,991,4,952,4,1008,4,946,4,576,QLD
30045,Alpha,1013,5,978,5,1021,5,937,3,559,QLD
30046,Alsace,941,2,911,2,1005,4,879,1,11,QLD
30047,Alton Downs,1041,7,986,5,1082,9,925,3,1324,QLD
30048,Alva,964,3,928,3,993,4,906,2,214,QLD
30049,Amamoor,956,3,920,2,986,3,911,2,720,QLD
30050,Amamoor Creek,968,3,950,3,1014,5,985,6,56,QLD
30051,Amaroo (Qld),956,3,942,3,936,2,941,4,17,QLD
30054,Ambrose,913,2,883,1,965,3,835,1,217,QLD
30055,Amby,1008,5,983,5,985,3,969,5,49,QLD
30056,Amiens,943,2,911,2,1008,4,878,1,343,QLD
30057,Amity,931,2,899,2,957,2,878,1,453,QLD
30058,Anakie Siding,906,1,896,2,909,1,939,4,155,QLD
30059,Andergrove,979,4,938,3,986,3,903,2,9924,QLD
30060,Anderleigh,924,2,902,2,976,3,918,3,128,QLD
30061,Andromache,971,3,924,2,1029,6,861,1,17,QLD
30062,Anduramba,982,4,954,4,985,3,965,5,84,QLD
30063,Annandale (Qld),1055,8,1038,8,1060,8,1032,8,8376,QLD
30064,Annerley,1036,7,1061,9,940,2,1111,10,11891,QLD
30065,Anstead,1108,10,1120,10,1142,10,1118,10,1522,QLD
30066,Anthony,1039,7,992,6,1079,9,963,5,133,QLD
30067,Antigua,918,2,872,1,991,4,842,1,126,QLD
30068,Apple Tree Creek,911,2,861,1,977,3,842,1,726,QLD
30069,Applethorpe,950,2,929,3,998,4,913,2,571,QLD
30071,Araluen (Qld),993,4,946,3,1050,7,908,2,649,QLD
30072,Aramac,951,2,935,3,951,2,901,2,372,QLD
30073,Aramara,840,1,841,1,918,1,873,1,71,QLD
30074,Arana Hills,1076,9,1058,9,1059,8,1058,9,6971,QLD
30075,Aranbanga,992,4,982,5,1057,7,978,5,15,QLD
30076,Aratula (Qld),980,4,930,3,1018,5,889,2,609,QLD
30077,Arbouin,893,1,904,2,896,1,934,3,4,QLD
30078,Arcadia (Qld),1000,5,973,5,922,1,1022,8,246,QLD
30079,Arcadia Valley,1055,8,1040,8,1073,8,1020,8,141,QLD
30080,Archer River,998,5,969,4,952,2,954,4,27,QLD
30081,Archerfield,969,3,946,3,925,1,922,3,533,QLD
30082,Arcturus,1077,9,1033,8,1084,9,1018,7,130,QLD
30083,Argyll,1058,8,1036,8,1133,10,1036,8,25,QLD
30084,Armstrong Beach,987,4,937,3,1017,5,868,1,903,QLD
30085,Armstrong Creek (Qld),1108,10,1085,10,1132,10,1041,8,328,QLD
30086,Aroona,1046,7,1014,7,1065,8,978,5,3466,QLD
30087,Arriga,989,4,963,4,1003,4,964,5,1323,QLD
30088,Arundel,1009,5,1002,6,1023,5,1001,7,11171,QLD
30089,Ascot (Brisbane - Qld),1082,10,1114,10,1037,6,1125,10,6531,QLD
30090,Ascot (Toowoomba - Qld),1019,6,1001,6,1011,5,1040,8,106,QLD
30091,Ashfield (Qld),1037,7,1012,7,1074,8,970,5,1152,QLD
30092,Ashgrove,1102,10,1137,10,1092,9,1141,10,13450,QLD
30093,Ashmore,1018,6,1007,7,1016,5,1008,7,12415,QLD
30094,Ashwell,990,4,941,3,1009,5,898,2,97,QLD
30095,Aspley,1058,8,1050,9,1030,6,1045,9,12871,QLD
30096,Atherton,938,2,910,2,923,1,911,2,7724,QLD
30097,Athol,1056,8,1010,7,1048,7,990,6,139,QLD
30098,Atkinsons Dam,849,1,838,1,916,1,888,2,191,QLD
30099,Aubigny,1061,8,1022,8,1098,10,942,4,283,QLD
30100,Auburn (Qld),1003,5,986,5,1007,4,1003,7,23,QLD
30101,Auchenflower,1093,10,1126,10,1010,5,1159,10,6053,QLD
30102,Augathella,897,1,887,1,937,2,891,2,393,QLD
30103,Augustine Heights,1077,9,1069,9,1092,9,1053,9,6088,QLD
30104,Aurukun,501,1,700,1,546,1,833,1,1101,QLD
30105,Austinville,1035,7,998,6,1088,9,968,5,403,QLD
30106,Avenell Heights,885,1,864,1,912,1,861,1,5028,QLD
30107,Avoca (Qld),943,2,908,2,965,3,892,2,4912,QLD
30108,Avoca Vale,974,3,943,3,988,3,955,4,20,QLD
30109,Avondale (Qld),887,1,856,1,959,2,844,1,701,QLD
30110,Ayr,948,2,909,2,941,2,879,1,8603,QLD
30111,Babinda (Qld),901,1,885,1,907,1,871,1,1287,QLD
30112,Back Plains,1026,6,1000,6,1071,8,1011,7,104,QLD
30113,Badu Island,664,1,774,1,653,1,846,1,704,QLD
30114,Baffle Creek,832,1,830,1,920,1,855,1,155,QLD
30115,Baffle West,1059,8,1037,8,1089,9,1025,8,3,QLD
30116,Bahrs Scrub,1020,6,988,6,1038,6,961,5,4508,QLD
30117,Bajool,929,2,912,2,993,4,884,2,447,QLD
30118,Bakers Bend,1068,9,1031,8,1081,9,1013,7,7,QLD
30119,Bakers Creek (Qld),1005,5,958,4,1033,6,888,2,1590,QLD
30120,Baking Board,996,4,966,4,1035,6,942,4,114,QLD
30121,Balberra,991,4,954,4,1042,7,888,2,425,QLD
30122,Balcomba,1025,6,1000,6,1062,8,983,6,29,QLD
30123,Bald Hills (Qld),1020,6,986,5,1018,5,969,5,7000,QLD
30124,Bald Knob,1050,8,1060,9,1067,8,1054,9,280,QLD
30125,Balgal Beach,899,1,872,1,940,2,870,1,998,QLD
30126,Balgowan (Qld),968,3,942,3,1001,4,924,3,7,QLD
30127,Ball Bay,995,4,948,3,1011,5,882,1,384,QLD
30128,Ballandean,999,5,974,5,1005,4,995,6,316,QLD
30129,Ballard,1063,9,999,6,1063,8,956,4,167,QLD
30130,Ballaroo,1082,10,1068,9,1109,10,1079,10,51,QLD
30131,Ballogie,810,1,815,1,895,1,824,1,276,QLD
30132,Balmoral (Qld),1087,10,1124,10,1067,8,1129,10,4173,QLD
30133,Balmoral Ridge,1065,9,1058,9,1062,8,1040,8,302,QLD
30134,Balnagowan,1065,9,1033,8,1102,10,978,5,438,QLD
30135,Bamaga,790,1,854,1,684,1,946,4,1186,QLD
30136,Bambaroo,985,4,949,3,1005,4,917,3,146,QLD
30137,Bamboo,1037,7,986,5,1039,6,962,5,139,QLD
30138,Bamboo Creek,1010,5,967,4,1028,6,923,3,88,QLD
30139,Ban Ban,992,4,982,5,1057,7,978,5,25,QLD
30140,Ban Ban Springs,992,4,982,5,1057,7,978,5,31,QLD
30141,Banana,1013,5,970,5,1043,7,922,3,348,QLD
30142,Bancroft,932,2,912,2,978,3,902,2,98,QLD
30143,Bangalee (Qld),979,4,963,4,1064,8,950,4,225,QLD
30144,Banks Creek,1020,6,977,5,1048,7,972,5,11,QLD
30145,Banks Pocket,1039,7,980,5,1073,8,907,2,187,QLD
30146,Banksia Beach,1014,5,985,5,1042,7,956,4,7180,QLD
30147,Bannockburn (Qld),992,4,962,4,1025,5,949,4,960,QLD
30148,Banyo,1031,6,1028,8,1011,5,1014,7,6105,QLD
30149,Bapaume,943,2,911,2,1008,4,878,1,123,QLD
30151,Baralaba,957,3,931,3,949,2,922,3,324,QLD
30152,Barambah,1014,5,1004,7,1033,6,1009,7,39,QLD
30153,Barcaldine,1010,5,972,5,978,3,962,5,1540,QLD
30154,Bardon,1119,10,1162,10,1114,10,1167,10,10153,QLD
30155,Baree,802,1,791,1,883,1,790,1,201,QLD
30156,Barellan Point,1078,9,1041,8,1082,9,996,6,1173,QLD
30157,Bargara,1004,5,982,5,994,4,985,6,8883,QLD
30158,Bargunyah,1082,10,1068,9,1109,10,1079,10,35,QLD
30159,Baringa,1040,7,1020,7,1042,7,996,6,4604,QLD
30160,Barker Creek Flat,990,4,973,5,1010,5,992,6,61,QLD
30161,Barkly (Qld),987,4,967,4,973,3,920,3,25,QLD
30162,Barlil,952,2,912,2,1007,4,894,2,46,QLD
30163,Barlows Hill,1037,7,999,6,1055,7,957,4,834,QLD
30165,Barmaryee,1070,9,1028,8,1127,10,964,5,925,QLD
30166,Barmoya,1056,8,1003,6,1120,10,909,2,85,QLD
30167,Barnard,1025,6,1000,6,1062,8,983,6,32,QLD
30168,Barney Point,802,1,815,1,815,1,843,1,1065,QLD
30169,Barney View,992,4,976,5,1021,5,1018,7,38,QLD
30170,Baroondah,1091,10,1065,9,1099,10,1024,8,57,QLD
30171,Barramornie,1019,6,992,6,1022,5,988,6,15,QLD
30172,Barratta (Qld),964,3,921,2,994,4,899,2,85,QLD
30173,Barrine,1068,9,1031,8,1057,7,1032,8,303,QLD
30174,Barringha,1008,5,953,4,1033,6,891,2,61,QLD
30175,Barringun,1020,6,1024,8,1029,6,1050,9,17,QLD
30176,Barron,1049,8,1015,7,1060,8,999,6,68,QLD
30178,Bartle Frere,1046,7,998,6,1051,7,972,5,169,QLD
30180,Basalt (Qld),1034,7,1006,7,1028,6,980,6,215,QLD
30182,Basin Pocket,911,2,879,1,904,1,889,2,931,QLD
30183,Battery Hill,999,5,971,5,989,3,962,5,2596,QLD
30184,Bauhinia,1025,6,1031,8,1064,8,1013,7,28,QLD
30185,Bauple,817,1,800,1,902,1,790,1,745,QLD
30187,Bayrick,1069,9,1020,7,1085,9,992,6,16,QLD
30188,Bayview Heights,1049,8,1013,7,1041,6,994,6,4175,QLD
30189,Beach Holm,919,2,887,1,972,3,956,4,35,QLD
30190,Beachmere,946,2,914,2,980,3,900,2,4782,QLD
30191,Beaconsfield (Qld),983,4,946,3,985,3,909,2,5899,QLD
30192,Beatrice,992,4,955,4,987,3,985,6,126,QLD
30193,Beaudesert,873,1,851,1,915,1,847,1,6752,QLD
30194,Beaver Rock,908,1,864,1,992,4,819,1,56,QLD
30195,Bedourie,952,2,942,3,884,1,898,2,150,QLD
30196,Beebo,991,4,978,5,996,4,971,5,50,QLD
30197,Beecher,1071,9,1019,7,1127,10,932,3,876,QLD
30198,Beechmont,1037,7,1014,7,1056,7,1018,7,848,QLD
30199,Beelbee,877,1,842,1,925,1,832,1,18,QLD
30200,Beelbi Creek,906,1,874,1,977,3,880,1,143,QLD
30201,Beenaam Valley,1004,5,954,4,1033,6,934,3,60,QLD
30202,Beenleigh,868,1,856,1,886,1,863,1,8425,QLD
30203,Beerburrum,1006,5,974,5,1027,6,939,3,941,QLD
30204,Beeron,1035,7,1004,7,1048,7,1009,7,34,QLD
30205,Beerwah,977,3,944,3,1010,5,928,3,7734,QLD
30206,Begonia,1082,10,1068,9,1109,10,1079,10,48,QLD
30207,Beilba,1059,8,1037,8,1089,9,1025,8,35,QLD
30208,Belcong,1038,7,1036,8,1110,10,1012,7,38,QLD
30209,Belgian Gardens,1022,6,1024,8,974,3,1044,8,2073,QLD
30210,Belivah,1049,8,1019,7,1068,8,988,6,515,QLD
30211,Bell (Qld),893,1,881,1,963,2,902,2,421,QLD
30212,Bella Creek,964,3,935,3,994,4,951,4,50,QLD
30213,Bellara,894,1,869,1,914,1,871,1,3278,QLD
30214,Bellbird Park,973,3,953,4,988,3,948,4,9191,QLD
30215,Bellbowrie,1085,10,1082,10,1096,9,1090,10,5495,QLD
30216,Bellenden Ker,1004,5,957,4,995,4,926,3,229,QLD
30218,Bellfield (Qld),876,1,890,2,839,1,867,1,10,QLD
30219,Belli Park,1032,7,1000,6,1071,8,994,6,724,QLD
30220,Bellmere,916,2,895,2,976,3,885,2,6588,QLD
30221,Bells Bridge,984,4,928,3,1023,5,896,2,226,QLD
30222,Bells Creek,1067,9,1038,8,1065,8,985,6,343,QLD
30223,Bellthorpe,961,3,947,3,1014,5,939,4,108,QLD
30224,Belmont (Qld),1072,9,1074,10,1088,9,1063,9,4498,QLD
30225,Belmunda,1021,6,978,5,1039,6,902,2,6,QLD
30226,Belvedere,957,3,928,3,956,2,919,3,943,QLD
30227,Belyando,1019,6,982,5,1072,8,938,3,307,QLD
30228,Bemerside,1048,8,981,5,1031,6,948,4,259,QLD
30229,Benair,1037,7,1017,7,1080,9,1028,8,151,QLD
30230,Benaraby,1030,6,983,5,1089,9,918,3,1166,QLD
30231,Benarkin,833,1,816,1,913,1,859,1,61,QLD
30232,Benarkin North,852,1,821,1,939,2,837,1,341,QLD
30233,Benholme,1001,5,963,4,1033,6,918,3,81,QLD
30234,Benobble,1027,6,985,5,1068,8,947,4,29,QLD
30235,Benowa,1039,7,1053,9,1054,7,1046,9,9889,QLD
30236,Bentley Park,978,3,945,3,998,4,926,3,8360,QLD
30237,Berajondo,879,1,867,1,958,2,870,1,112,QLD
30238,Berat,1035,7,1005,7,1043,7,996,6,129,QLD
30239,Bergen,1008,5,963,4,1052,7,928,3,85,QLD
30240,Berrinba,936,2,933,3,983,3,943,4,2615,QLD
30241,Berserker,866,1,850,1,876,1,855,1,7020,QLD
