2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Score of Index of Relative Socio-economic Disadvantage,Decile of Index of Relative Socio-economic Disadvantage,Score of Index of Relative Socio-economic Advantage and Disadvantage,Decile of Index of Relative Socio-economic Advantage and Disadvantage,Score of Index of Economic Resources,Decile of Index of Economic Resources,Score of Index of Education and Occupation,Decile of Index of Education and Occupation,Usual Resident Population,State
40002,Adelaide,980,4,1045,9,814,1,1134,10,18202,SA
40004,Agery,1041,7,1023,8,1043,7,1049,9,90,SA
40005,Alawoona,955,3,922,2,1006,4,939,3,25,SA
40006,Albert Park (SA),973,3,950,3,950,2,948,4,1780,SA
40007,Alberton (SA),996,4,972,5,963,2,969,5,1860,SA
40008,Aldgate,1103,10,1116,10,1124,10,1133,10,3471,SA
40009,Aldinga,993,4,971,5,991,4,1024,8,764,SA
40010,Aldinga Beach,966,3,925,2,983,3,919,3,10667,SA
40011,Alford,965,3,935,3,1006,4,965,5,159,SA
40012,Allenby Gardens,1041,7,1013,7,994,4,1010,7,2045,SA
40013,Allendale East,1020,6,944,3,1035,6,893,2,484,SA
40014,Allendale North,1033,7,998,6,1061,8,975,5,162,SA
40015,Alma (SA),1032,7,997,6,1061,8,983,6,66,SA
40016,Altona (SA),1102,10,1058,9,1069,8,1036,8,114,SA
40017,Amata,517,1,719,1,549,1,945,4,393,SA
40019,American River,915,2,881,1,937,2,849,1,280,SA
40020,Amyton,1018,6,981,5,1044,7,981,6,9,SA
40021,Anama,1058,8,1036,8,1029,6,1031,8,7,SA
40022,Anangu Pitjantjatjara Yankunytjatjara,790,1,870,1,725,1,956,4,205,SA
40023,Andamooka,842,1,817,1,890,1,782,1,262,SA
40024,Andamooka Station,1007,5,959,4,983,3,904,2,7,SA
40025,Andrews,1006,5,987,6,1027,6,1043,8,32,SA
40026,Andrews Farm,894,1,870,1,938,2,862,1,8699,SA
40027,Angas Plains,1068,9,1035,8,1056,7,1018,7,81,SA
40028,Angas Valley,913,2,897,2,968,3,930,3,52,SA
40029,Angaston,980,4,954,4,990,4,956,4,2202,SA
40030,Angle Park,800,1,843,1,848,1,892,2,1555,SA
40031,Angle Vale,1058,8,1013,7,1112,10,944,4,4051,SA
40032,Anna Creek,1007,5,959,4,983,3,904,2,176,SA
40033,Annadale,983,4,926,2,999,4,897,2,37,SA
40034,Antechamber Bay,1011,5,975,5,995,4,969,5,13,SA
40035,Apamurra,951,2,909,2,1000,4,907,2,11,SA
40036,Apoinga,1039,7,1003,6,1029,6,1015,7,29,SA
40037,Appila,1004,5,985,5,1019,5,1040,8,91,SA
40038,Arcoona,1007,5,959,4,983,3,904,2,82,SA
40039,Ardrossan,941,2,890,2,937,2,864,1,1269,SA
