2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Score of Index of Relative Socio-economic Disadvantage,Decile of Index of Relative Socio-economic Disadvantage,Score of Index of Relative Socio-economic Advantage and Disadvantage,Decile of Index of Relative Socio-economic Advantage and Disadvantage,Score of Index of Economic Resources,Decile of Index of Economic Resources,Score of Index of Education and Occupation,Decile of Index of Education and Occupation,Usual Resident Population,State
60002,Abels Bay,947,2,939,3,940,2,1020,8,127,TAS
60003,Aberdeen (Tas.),1035,7,977,5,1068,8,935,3,268,TAS
60004,Acacia Hills (Tas.),1026,6,971,5,1059,8,931,3,729,TAS
60005,Acton (Tas.),855,1,827,1,873,1,819,1,1377,TAS
60006,Acton Park (Tas.),1114,10,1092,10,1137,10,1045,9,2293,TAS
60007,Adventure Bay,944,2,927,2,936,2,947,4,218,TAS
60008,Akaroa,981,4,923,2,947,2,906,2,130,TAS
60009,Alberton (Tas.),956,3,943,3,959,2,955,4,14,TAS
60010,Alcomie,914,2,887,1,960,2,892,2,58,TAS
60011,Allens Rivulet,1079,9,1062,9,1068,8,1084,10,506,TAS
60012,Alonnah,944,2,927,2,936,2,947,4,164,TAS
60013,Ambleside,1002,5,953,4,1001,4,921,3,695,TAS
60014,Andover,972,3,968,4,1030,6,978,5,39,TAS
60015,Ansons Bay,898,1,874,1,973,3,903,2,62,TAS
60016,Antill Ponds,962,3,922,2,1008,4,928,3,13,TAS
60017,Apollo Bay (Tas.),1038,7,1010,7,1019,5,1042,8,38,TAS
60018,Apslawn,987,4,978,5,975,3,989,6,15,TAS
60019,Apsley (Tas.),950,2,914,2,987,3,891,2,44,TAS
60020,Arthur River (Tas.),980,4,962,4,986,3,959,5,32,TAS
60021,Arthurs Lake,950,2,914,2,987,3,891,2,9,TAS
60022,Austins Ferry,986,4,946,3,991,4,927,3,2395,TAS
60023,Avoca (Tas.),851,1,844,1,879,1,862,1,192,TAS
60024,Baden,922,2,880,1,991,4,877,1,43,TAS
60025,Badger Head,937,2,915,2,1013,5,908,2,62,TAS
60026,Bagdad,954,3,900,2,1007,4,850,1,1482,TAS
60027,Bakers Beach,1010,5,970,5,1013,5,987,6,72,TAS
60028,Banca,898,1,890,1,935,2,911,2,6,TAS
60029,Bangor (Tas.),1020,6,970,5,1052,7,937,3,77,TAS
60030,Barnes Bay,1038,7,1010,7,1019,5,1042,8,28,TAS
60031,Barretta,991,4,953,4,1003,4,945,4,63,TAS
60032,Barrington (Tas.),1003,5,962,4,1042,7,929,3,209,TAS
60033,Battery Point,1077,9,1102,10,949,2,1140,10,2096,TAS
60034,Beaconsfield (Tas.),848,1,820,1,906,1,807,1,1362,TAS
60035,Beaumaris (Tas.),978,3,931,3,959,2,952,4,362,TAS
60036,Beauty Point,893,1,865,1,921,1,884,1,1285,TAS
60037,Beechford,914,2,889,1,954,2,894,2,111,TAS
60038,Bell Bay,1029,6,921,2,1033,6,754,1,5,TAS
60039,Bellerive,1023,6,1012,7,962,2,1039,8,4945,TAS
60040,Bellingham,937,2,919,2,981,3,880,1,78,TAS
