2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Score of Index of Relative Socio-economic Disadvantage,Decile of Index of Relative Socio-economic Disadvantage,Score of Index of Relative Socio-economic Advantage and Disadvantage,Decile of Index of Relative Socio-economic Advantage and Disadvantage,Score of Index of Economic Resources,Decile of Index of Economic Resources,Score of Index of Education and Occupation,Decile of Index of Education and Occupation,Usual Resident Population,State
20002,Abbotsford (Vic.),1077,9,1127,10,951,2,1163,10,9088,VIC
20003,Aberfeldie,1083,10,1101,10,1074,8,1091,10,3925,VIC
20005,Acheron,1059,8,1021,7,1073,8,1013,7,146,VIC
20007,Adams Estate,970,3,946,3,1016,5,938,3,83,VIC
20008,Addington,1061,8,1038,8,1039,6,1012,7,65,VIC
20009,Adelaide Lead,906,1,874,1,969,3,881,1,85,VIC
20010,Agnes,1036,7,1003,6,1015,5,1010,7,61,VIC
20011,Aintree,1054,8,1054,9,1110,10,1045,9,7982,VIC
20013,Aireys Inlet,1083,10,1067,9,1042,7,1084,10,979,VIC
20014,Airly,1027,6,1006,7,1082,9,1010,7,160,VIC
20015,Airport West,1026,6,1018,7,994,4,1014,7,8173,VIC
20017,Albanvale,843,1,865,1,936,2,881,1,5641,VIC
20018,Albert Park (Vic.),1079,9,1132,10,1017,5,1153,10,6044,VIC
20019,Alberton (Vic.),950,2,925,2,998,4,916,3,297,VIC
20020,Alberton West,962,3,947,3,1012,5,985,6,76,VIC
20021,Albion (Vic.),907,1,937,3,881,1,982,6,4334,VIC
20022,Alexandra (Vic.),976,3,940,3,961,2,943,4,2801,VIC
20023,Alfredton,1026,6,1005,7,1023,5,1010,7,11822,VIC
20024,Allambee,1050,8,1030,8,1054,7,1057,9,24,VIC
20025,Allambee Reserve,1048,8,1021,7,1054,7,1043,8,96,VIC
20026,Allambee South,1004,5,987,6,1047,7,1019,8,61,VIC
20027,Allans Flat,1114,10,1069,9,1126,10,1039,8,297,VIC
