2021 Suburbs and Localities (SAL) Code,2021 Suburbs and Localities (SAL) Name,Score of Index of Relative Socio-economic Disadvantage,Decile of Index of Relative Socio-economic Disadvantage,Score of Index of Relative Socio-economic Advantage and Disadvantage,Decile of Index of Relative Socio-economic Advantage and Disadvantage,Score of Index of Economic Resources,Decile of Index of Economic Resources,Score of Index of Education and Occupation,Decile of Index of Education and Occupation,Usual Resident Population,State
50002,Abbey,1039,7,1001,6,1059,8,972,5,1321,WA
50003,Acton Park (WA),1020,6,995,6,1079,9,995,6,92,WA
50004,Adamsvale,1112,10,1081,10,1138,10,1072,9,41,WA
50005,Ajana,1074,9,1060,9,1036,6,1078,9,51,WA
50006,Albany,1038,7,1031,8,997,4,1059,9,1403,WA
50007,Aldersyde,1052,8,1030,8,1082,9,1033,8,41,WA
50008,Alexander Heights,972,3,957,4,1041,7,929,3,7772,WA
50009,Alexandra Bridge,977,3,946,3,977,3,951,4,3,WA
50010,Alfred Cove,1082,10,1092,10,1067,8,1096,10,2830,WA
50011,Alkimos,1034,7,1005,7,1052,7,984,6,10203,WA
50012,Allanooka,994,4,962,4,1031,6,936,3,19,WA
50013,Allanson,993,4,944,3,1048,7,879,1,591,WA
50014,Alma (WA),1012,5,997,6,1043,7,1003,7,116,WA
50015,Ambania,1064,9,1069,9,1064,8,1092,10,15,WA
50016,Ambergate,1075,9,1031,8,1141,10,950,4,564,WA
50017,Amelup,1064,9,1059,9,1073,8,1064,9,71,WA
50018,Angelo River,960,3,937,3,933,2,897,2,3,WA
50019,Anketell,1062,9,1023,8,1073,8,948,4,280,WA
50020,Anniebrook,993,4,973,5,990,4,975,5,53,WA
50022,Applecross,1098,10,1128,10,1076,9,1134,10,7228,WA
50023,Ardath,1050,8,1025,8,1073,8,1009,7,51,WA
50024,Ardross,1093,10,1117,10,1081,9,1128,10,4578,WA
50025,Argyle (WA),1067,9,1025,8,1086,9,967,5,575,WA
50026,Armadale (WA),830,1,824,1,865,1,826,1,13415,WA
50027,Arrino,1070,9,1049,9,1045,7,1061,9,48,WA
50028,Arrowsmith,1017,6,968,4,1047,7,922,3,17,WA
50029,Arrowsmith East,1070,9,1049,9,1045,7,1061,9,61,WA
50030,Arthur River (WA),1027,6,1006,7,1025,5,1015,7,66,WA
