SA2_NAME21,Count
Queanbeyan Surrounds,1
Batemans Bay,4
Bega-Eden Hinterland,2
Broulee - Tomakin,1
Merimbula - Tura Beach,1
Moruya - Tuross Head,1
Goulburn,12
Yass,1
Yass Surrounds,5
Young,4
Young Surrounds,27
Box Head - MacMasters Beach,16
Calga - Kulnura,4
Erina - Green Point,249
Gosford - Springfield,23
Kariong,10
Kincumber - Picketts Valley,7
Narara,9
Niagara Park - Lisarow,5
Point Clare - Koolewong,9
Saratoga - Davistown,5
Terrigal - North Avoca,12
Umina - Booker Bay - Patonga,23
Wamberal - Forresters Beach,7
Woy Woy - Blackwall,7
Bateau Bay - Killarney Vale,30
Blue Haven - San Remo,6
Budgewoi - Buff Point - Halekulani,28
Chittaway Bay - Tumbi Umbi,36
Gorokan - Kanwal - Charmhaven,20
Jilliby - Yarramalong,14
Lake Munmorah - Mannering Park,16
Ourimbah - Fountaindale,1
Summerland Point - Gwandalan,2
The Entrance,8
Toukley - Norah Head,5
Tuggerah - Kangy Angy,2
Warnervale - Wadalba,15
Wyong,4
Oberon,1
Bathurst - South,7
Cowra,3
Parkes (NSW),1
Lithgow,3
Lithgow Surrounds,2
Mudgee,3
Mudgee Surrounds - West,1
Grafton,20
Grafton Surrounds,4
Maclean - Yamba - Iluka,2
Bellingen,1
Coffs Harbour - South,18
Korora - Emerald Beach,4
Sawtell - Boambee,10
Woolgoolga - Arrawarra,3
Coonamble,1
Broken Hill,3
Dubbo - East,10
Wellington,2
Branxton - Greta - Pokolbin,3
Cessnock,46
Cessnock Surrounds,5
Dungog,3
Kurri Kurri - Abermain,5
Singleton,4
Maitland,5
East Maitland - Metford,3
Rutherford (North) - Aberglasslyn,17
Tenambit - East Maitland,15
Thornton - Millers Forest,1
Lemon Tree Passage - Tanilba Bay,5
Nelson Bay Peninsula,4
Raymond Terrace,15
Seaham - Woodville,2
Williamtown - Medowie - Karuah,7
Muswellbrook,10
Dapto - Avondale,60
Horsley - Kembla Grange,13
Unanderra - Mount Kembla,31
Berkeley - Lake Heights - Cringila,2
Port Kembla - Warrawong,18
Windang - Primbee,1
Albion Park - Macquarie Pass,12
Albion Park Rail,3
Kiama,6
Kiama Hinterland - Gerringong,8
Shellharbour - Flinders,12
Shellharbour - Oak Flats,5
Warilla,24
Balgownie - Fairy Meadow,11
Corrimal - Tarrawanna - Bellambi,19
Figtree - Keiraville,23
Helensburgh,1
Thirroul - Austinmer - Coalcliff,11
Woonona - Bulli - Russell Vale,33
Wollongong - East,62
Wollongong - West,7
Tuncurry,1
Kempsey,1
Macksville - Scotts Head,2
South West Rocks,2
Port Macquarie Surrounds,1
Wauchope,6
Port Macquarie - South,19
Old Bar - Manning Point - Red Head,3
Taree,9
Taree Surrounds,2
Albury - East,1
Albury - South,9
Albury Surrounds,1
Lavington,1
Armidale,9
Armidale Surrounds - South,1
Tenterfield,3
Quirindi,1
Tamworth - East,6
Tamworth - North,6
Tamworth Surrounds,3
Belmont - Bennetts Green,15
Belmont South - Blacksmiths,8
Charlestown - Dudley,33
Glendale - Cardiff - Hillsborough,46
Mount Hutton - Windale,9
Swansea - Caves Beach,15
Valentine - Eleebana,117
Warners Bay - Boolaroo,24
Bolton Point - Teralba,4
Bonnells Bay - Silverwater,5
Edgeworth - Cameron Park,28
Morisset - Cooranbong,22
Toronto - Awaba,3
Wangi Wangi - Rathmines,11
West Wallsend - Barnsley - Killingworth,2
Adamstown - Kotara,13
Beresfield - Hexham,12
Hamilton - Broadmeadow,2
Lambton - New Lambton,21
Mayfield - Warabrook,7
Merewether - The Junction,75
Newcastle - Cooks Hill,21
Shortland - Jesmond,9
Stockton - Fullerton Cove,11
Wallsend - Elermore Vale,18
Waratah - North Lambton,14
Ballina,6
Ballina Surrounds,2
Bangalow,1
Brunswick Heads - Ocean Shores,3
Byron Bay,4
Lennox Head - Skennars Head,4
Mullumbimby,2
Casino Surrounds,1
Goonellabah,4
Kyogle,3
Lismore,13
Lismore Surrounds,3
Kingscliff - Fingal Head,4
Murwillumbah,9
Pottsville,24
Tweed Heads,23
Banora Point,35
Terranora - North Tumbulgum,5
Tweed Heads South,4
Griffith (NSW),6
Leeton,1
Tumut,1
Junee,3
Wagga Wagga - East,2
Wagga Wagga - North,1
Wagga Wagga - South,5
Wagga Wagga - West,24
Berry - Kangaroo Valley,7
Callala Bay - Currarong,6
Culburra Beach,1
Huskisson - Vincentia,3
North Nowra - Bomaderry,6
Nowra,7
St Georges Basin - Erowal Bay,6
Sussex Inlet - Berrara,1
Ulladulla,3
Ulladulla Surrounds,3
Bowral,14
Hill Top - Colo Vale,2
Mittagong,2
Moss Vale - Berrima,14
Robertson - Fitzroy Falls,1
Southern Highlands,1
Baulkham Hills - East,73
Baulkham Hills (West) - Bella Vista,10
Glenhaven,6
Castle Hill - Central,87
Cherrybrook,18
Kellyville - West,96
Dural - Kenthurst - Wisemans Ferry,18
Galston - Laughtondale,2
Bilpin - Colo - St Albans,1
Kurrajong Heights - Ebenezer,18
Pitt Town - McGraths Hill,6
Rouse Hill - Beaumont Hills,48
Blacktown (East) - Kings Park,67
Blacktown (North) - Marayong,16
Doonside - Woodcroft,13
Lalor Park - Kings Langley,25
Seven Hills - Prospect,34
Glenwood,13
Acacia Gardens,6
Quakers Hill,46
Kellyville Ridge - The Ponds,11
Marsden Park - Shanes Park,17
Riverstone,15
Schofields (West) - Colebee,2
Schofields - East,44
Stanhope Gardens - Parklea,22
Bidwill - Hebersham - Emerton,4
Glendenning - Dean Park,4
Hassall Grove - Plumpton,35
Lethbridge Park - Tregear,4
Mount Druitt - Whalan,17
Rooty Hill - Minchinbury,9
Pagewood - Hillsdale - Daceyville,18
Eastlakes,29
Mascot,24
Petersham - Stanmore,10
Sydenham - Tempe - St Peters,10
Marrickville - South,37
Darlinghurst,8
Erskineville - Alexandria,9
Glebe - Forest Lodge,35
Potts Point - Woolloomooloo,6
Surry Hills,16
Camperdown - Darlington,4
Chippendale,5
Newtown (NSW),15
Pyrmont,8
Redfern,8
Sydney (North) - Millers Point,100
Sydney (South) - Haymarket,5
Ultimo,8
Zetland,33
Bondi - Tamarama - Bronte,57
Bondi Beach - North Bondi,20
Bondi Junction - Waverly,17
Dover Heights,2
Paddington - Moore Park,8
Rose Bay - Vaucluse - Watsons Bay,30
Woollahra,2
Bellevue Hill,41
Double Bay - Darling Point,9
Kingsford,23
Maroubra - North,89
Randwick - South,63
Coogee - Clovelly,34
Malabar - La Perouse,4
Matraville - Chifley,174
South Coogee,5
Bass Hill - Georges Hall,34
Condell Park,18
Padstow,24
Revesby,14
Yagoona - Birrong,56
Bankstown - South,79
Greenacre - North,28
Greenacre - South,3
Panania (North) - Milperra,5
Panania (South) - Picnic Point,17
Belmore - Belfield,29
Punchbowl,26
Roselands,21
Lakemba,7
Wiley Park,8
Campsie - North,18
Canterbury - South,5
Earlwood,15
Kingsgrove - North,20
Narwee - Beverly Hills,7
Oatley - Hurstville Grove,50
Peakhurst - Lugarno,18
Riverwood,12
South Hurstville - Blakehurst,14
Hurstville - Central,132
Mortdale - Oatley,31
Penshurst,8
Kingsgrove (South) - Bardwell Park,19
Kogarah,21
Kogarah Bay - Carlton - Allawah,27
Monterey - Brighton-le-Sands - Kyeemagh,6
Rockdale - Banksia,62
Sans Souci - Ramsgate,25
Arncliffe - Bardwell Valley,22
Bexley - North,21
Wolli Creek,40
Concord - Mortlake - Cabarita,24
Drummoyne - Rodd Point,22
Five Dock - Abbotsford,28
Concord West - North Strathfield,17
Balmain,53
Lilyfield - Rozelle,3
Annandale (NSW),13
Leichhardt,41
Canterbury (North) - Ashbury,5
Croydon Park - Enfield,49
Dulwich Hill - Lewisham,4
Haberfield - Summer Hill,38
Homebush,19
Strathfield South,14
Ashfield - South,33
Burwood (NSW),14
Strathfield - West,21
Chatswood (West) - Lane Cove North,23
St Leonards - Naremburn,23
Artarmon,33
Castle Cove - Northbridge,21
Chatswood - East,42
Lane Cove,42
Willoughby,32
Asquith - Mount Colah,155
Berowra - Brooklyn - Cowan,7
Normanhurst - Thornleigh - Westleigh,15
Hornsby - East,47
Wahroonga (West) - Waitara,7
Gordon - Killara,22
Lindfield - Roseville,28
Pymble,95
St Ives,43
Turramurra,98
Wahroonga (East) - Warrawee,32
Cremorne - Cammeray,11
Crows Nest - Waverton,34
Neutral Bay - Kirribilli,15
North Sydney - Lavender Bay,34
Mosman - South,27
Balgowlah - Clontarf - Seaforth,55
Manly - Fairlight,25
Bayview - Elanora Heights,6
Newport - Bilgola,2
Mona Vale - Warriewood (North),10
North Narrabeen - Warriewood (South),14
Beacon Hill - Narraweena,1
Forestville - Killarney Heights,31
Freshwater - Brookvale,35
Manly Vale - Allambie Heights,13
Terrey Hills - Duffys Forest,5
Belrose,4
Collaroy - Collaroy Plateau,13
Dee Why (South) - North Curl Curl,4
Dee Why - North,37
Frenchs Forest - Oxford Falls,14
Narrabeen - Wheeler Heights,3
Camden - Ellis Lane,12
Currans Hill,1
Elderslie - Narellan,9
Harrington Park,57
Mount Annan,17
Spring Farm,6
Bradbury - Wedderburn,14
Campbelltown - Woodbine,134
Claymore - Eagle Vale - Raby,22
Leumeah - Minto Heights,3
Minto - St Andrews,14
Rosemeadow - Glen Alpine,61
Denham Court - Bardia,9
Glenfield,6
Ingleburn,27
Macquarie Fields,178
Bargo,5
Douglas Park - Appin,1
Picton - Tahmoor - Buxton,10
Blackheath - Megalong Valley,1
Blaxland - Warrimoo - Lapstone,30
Katoomba - Leura,1
Lawson - Hazelbrook - Linden,11
Springwood - Winmalee,4
Wentworth Falls,11
Cambridge Park,25
Emu Plains - Leonay,20
Glenmore Park - Regentville,38
Jamisontown - South Penrith,7
Kingswood - Werrington,28
Penrith,88
Cranebrook - Castlereagh,16
Jordan Springs - Llandilo,2
Richmond - Clarendon,9
Windsor - Bligh Park,5
Erskine Park,4
Colyton - Oxley Park,7
St Marys - North St Marys,55
Auburn - Central,78
Berala,8
Lidcombe,16
Regents Park,66
Silverwater - Newington,12
Ermington - Rydalmere,48
Oatlands - Dundas Valley,22
Carlingford - West,94
Chester Hill - Sefton,18
Fairfield - East,5
Guildford - South Granville,5
Guildford West - Merrylands West,10
Greystanes - South,42
Merrylands - Holroyd,115
Pemulwuy - Greystanes (North),4
South Wentworthville,26
North Parramatta,20
North Rocks,66
Northmead,1
Toongabbie - Constitution Hill,13
Winston Hills,9
Pendle Hill - Girraween,19
Wentworthville - Westmead,32
Parramatta - North,100
Rosehill - Harris Park,30
Pennant Hills - Cheltenham,50
Epping (East) - North Epping,2
Gladesville - Huntleys Point,23
Hunters Hill - Woolwich,33
Macquarie Park - Marsfield,57
North Ryde - East Ryde,18
West Ryde - Meadowbank,34
Putney,3
Denistone,3
Eastwood,80
Ryde - North,103
Austral - Greendale,15
Cecil Hills,10
Green Valley,6
Hinchinbrook,19
Hoxton Park - Carnes Hill - Horningsea Park,21
West Hoxton - Middleton Grange,21
Cobbitty - Bringelly,1
Gledswood Hills - Gregory Hills,6
Leppington - Catherine Field,17
Oran Park,9
Bonnyrigg Heights - Bonnyrigg,19
Bossley Park - Abbotsbury,9
Cabramatta - Lansvale,8
Cabramatta West - Mount Pritchard,6
Canley Vale - Canley Heights,19
Edensor Park,5
Fairfield,28
Fairfield - West,13
Greenfield Park - Prairiewood,2
Horsley Park - Kemps Creek,3
St Johns Park - Wakeley,15
Casula,40
Chipping Norton - Moorebank,75
Holsworthy - Wattle Grove,34
Lurnea - Cartwright,4
Warwick Farm,2
Edmondson Park,21
