SA2_CODE21,0
101021007,POINT (149.76807595708587 -35.50468218555413)
101021008,POINT (149.2350606405903 -35.37510915691002)
101021009,POINT (149.2246290105167 -35.3520491555253)
101021010,POINT (149.25186274311415 -35.36035329584885)
101021012,POINT (149.20222565840015 -35.37664881633013)
101021610,POINT (149.23684842821763 -35.42679067105923)
101021611,POINT (149.4245677022884 -35.42275818215356)
101031013,POINT (148.9713350704531 -36.91113267584952)
101031014,POINT (149.1111629418661 -36.24810714578726)
101031015,POINT (149.16121932211271 -36.14597761398083)
101031016,POINT (148.57127977112663 -36.47637245209958)
101041017,POINT (150.1556169509855 -35.704662236408794)
101041018,POINT (150.21115233129808 -35.78023173073194)
101041019,POINT (149.90879482436208 -36.736389724996954)
101041020,POINT (149.67263732201275 -36.87210618411602)
101041021,POINT (150.1545126358589 -35.845716736132715)
101041022,POINT (149.74026106980273 -36.181929233426736)
101041023,POINT (149.89154546341905 -37.030662227863516)
101041024,POINT (150.03059264736132 -35.850317725872486)
101041025,POINT (149.86329178466633 -36.904763714286034)
101041026,POINT (150.10577933245554 -35.95674023520574)
101041027,POINT (150.06558018845348 -36.33086522861475)
101051539,POINT (149.72699990317906 -34.744291593836415)
101051540,POINT (149.61391855330797 -34.500824878956145)
101061541,POINT (148.90830962095748 -34.82282562960924)
101061542,POINT (148.88424668049856 -34.88732708130881)
101061543,POINT (148.34228163372057 -34.32041755901773)
101061544,POINT (148.79066897803412 -34.354780508448705)
102011028,POINT (151.427229398193 -33.473123830846035)
102011029,POINT (151.38972536142543 -33.51209983407396)
102011030,POINT (151.17967609445515 -33.3404429607247)
102011031,POINT (151.4017052746364 -33.42451633517093)
102011032,POINT (151.3649379760339 -33.42954112335353)
102011033,POINT (151.2948739105131 -33.43883282283089)
102011034,POINT (151.39771930394056 -33.47039332493948)
102011035,POINT (151.33108076600465 -33.39557137608671)
102011036,POINT (151.3805275996364 -33.38669318451017)
102011037,POINT (151.31164545228646 -33.45441885397131)
102011038,POINT (151.35230433238792 -33.478053193693896)
102011039,POINT (151.42825606837044 -33.44581997444323)
102011040,POINT (151.28911421768146 -33.529339819655554)
102011041,POINT (151.4582709161323 -33.40794684198846)
102011042,POINT (151.29944728057745 -33.483781865111524)
102011043,POINT (151.36488413657466 -33.40479083664731)
102021044,POINT (151.47033747033558 -33.377673842905835)
102021045,POINT (151.52483403018397 -33.2045608402328)
102021046,POINT (151.54852472541495 -33.223171558197166)
102021047,POINT (151.4291842859456 -33.352706325566935)
102021048,POINT (151.50150432496912 -33.2567333414176)
102021049,POINT (151.3094797900738 -33.1704870446046)
102021050,POINT (151.5746965802265 -33.17585788647504)
102021051,POINT (151.33268231513034 -33.31548532438219)
